# Signal[dBm], SNR[dB], Bit-Recovery-Rate, Packet-Error-Rate
-105.0,11.62,0.0,0.0
-105.2,11.42,0.0,0.0
-105.4,11.22,0.0,0.0
-105.6,11.04,0.0,0.0
-105.8,10.85,0.004,0.0
-106.0,10.67,0.0,0.0
-106.2,10.48,0.0,0.0
-106.4,10.3,0.0,0.0
-106.6,10.1,0.0,0.0
-106.8,9.93,0.0,0.0
-107.0,9.72,0.004,0.0
-107.2,9.54,0.004,0.0
-107.4,9.39,0.0,0.0
-107.6,9.18,0.0,0.0
-107.8,8.98,0.008,0.0
-108.0,8.75,0.024,0.0
-108.2,8.53,0.028,0.0
-108.4,8.42,0.016,0.0
-108.6,8.09,0.06,0.0
-108.8,7.85,0.084,0.0
-109.0,7.63,0.08,0.0
-109.2,7.45,0.076,0.0
-109.4,7.13,0.132,0.0
-109.6,7.01,0.12,0.0
-109.8,6.69,0.192,0.0
-110.0,6.28,0.284,0.0
-110.2,5.81,0.472,0.0
-110.4,5.73,0.4,0.0
-110.6,5.54,0.524,0.0
-110.8,5.16,0.66,0.0
-111.0,4.89,0.696,0.0
-111.2,4.63,0.872,0.0
-111.4,4.37,1.072,0.0
-111.6,4.16,1.184,0.0
-111.8,3.89,1.568,0.0
-112.0,3.69,1.604,0.0
-112.2,3.52,2.068,0.0
-112.4,3.35,2.264,0.0
-112.6,3.24,2.524,0.0
-112.8,3.05,2.968,0.0
-113.0,2.86,3.594,0.4
-113.2,2.76,3.598,0.4
-113.4,2.62,4.286,2.0
-113.6,2.45,4.984,2.0
-113.8,2.34,5.264,3.2
-114.0,2.24,5.384,5.2
-114.2,2.09,5.805,9.6
-114.4,1.98,6.43,10.8
-114.6,1.82,6.737,22.4
-114.8,1.7,7.672,29.2
-115.0,1.6,7.325,36.0
-115.2,1.48,7.84,47.6
-115.4,1.36,8.874,58.8
-115.6,1.25,8.697,69.6
-115.8,1.11,9.059,72.8
-116.0,1.06,9.541,85.2
-116.2,0.84,9.8,86.0
-116.4,0.8,11.25,92.0
-116.6,0.96,9.357,94.4
-116.8,0.33,9.333,98.8
-117.0,0.43,10.667,97.6
-117.2,0.5,14.0,99.6
-117.4,0.45,11.5,99.2
-117.6,0.2,11.5,99.2
-117.8,0.5,8.0,99.2
-118.0,0.0,0.0,100.0
-118.2,0.0,0.0,100.0
-118.4,0.0,0.0,100.0
-118.6,0.0,0.0,100.0
-118.8,0.0,0.0,100.0
-119.0,0.0,0.0,100.0
-119.2,0.0,0.0,100.0
-119.4,0.0,0.0,100.0
-119.6,0.0,0.0,100.0
-119.8,0.0,0.0,100.0
-120.0,0.0,0.0,100.0
